k,rank,accuracy,precision,recall,f1
k10,chi2,0.7560543813286618,0.7646581096490609,0.7560543813286618,0.7409467103854936
k10,gini,0.820751474817658,0.8289223030454779,0.820751474817658,0.8167742223733409
k10,info_gain,0.7372464053619816,0.749833625828281,0.7372464053619816,0.724960882447046
k10,random_forest,0.7772873883239698,0.7876234416038512,0.7772873883239698,0.7702851255164688
k10,slope_rank,0.7003514999295698,0.708100477082411,0.7003514999295698,0.6847921210155876
k12,chi2,0.7536637679754822,0.7592888471298879,0.7536637679754822,0.7407012735293196
k12,gini,0.8255828718906738,0.8319236130372847,0.8255828718906738,0.8211396573436405
k12,info_gain,0.7497733745947311,0.7644933773162658,0.7497733745947311,0.7375540248247026
k12,random_forest,0.7907309235063414,0.8016781481456506,0.7907309235063414,0.783709491068124
k12,slope_rank,0.7210581763665801,0.7284698191439151,0.7210581763665801,0.7078823421762074
k15,chi2,0.7614291538410568,0.7687353769322641,0.7614291538410568,0.7471791042381454
k15,gini,0.8300040429222441,0.836018825145948,0.8300040429222441,0.8258023968781255
k15,info_gain,0.7682013284564988,0.7792410744709694,0.7682013284564988,0.7597525582782544
k15,random_forest,0.8104269711594125,0.8186957005609038,0.8104269711594125,0.8035499730665743
k15,slope_rank,0.7260824964280143,0.7369226150510221,0.7260824964280143,0.7124744835902191
k20,chi2,0.7827853619228575,0.7950399317305646,0.7827853619228575,0.7745254202937616
k20,gini,0.8413250147617668,0.8486351440820564,0.8413250147617668,0.836241375865956
k20,info_gain,0.7757738316782185,0.7834004353185127,0.7757738316782185,0.7675016882053308
k20,random_forest,0.8182642167171399,0.8267156014812985,0.8182642167171399,0.812298795632286
k20,slope_rank,0.735221218610492,0.7424124498358325,0.735221218610492,0.7252111804715763
k6,chi2,0.7072849077101075,0.7139095030716504,0.7072849077101075,0.6850537940228656
k6,gini,0.7912924589108749,0.797107386155881,0.7912924589108749,0.7855389846441874
k6,info_gain,0.7286440810793722,0.7360735022032808,0.7286440810793722,0.711998236717284
k6,random_forest,0.7461772170577822,0.7444477691592691,0.7461772170577822,0.7320174619532067
k6,slope_rank,0.6433119349027187,0.6435550770770925,0.6433119349027187,0.62502494231485
k7,chi2,0.7269392649875991,0.7292600027612902,0.7269392649875991,0.7071884213571448
k7,gini,0.7899633898252237,0.7962074236459755,0.7899633898252237,0.7850172877220287
k7,info_gain,0.7325386596183655,0.7445868932407058,0.7325386596183655,0.7166903273557196
k7,random_forest,0.7599789899660222,0.7605437571089492,0.7599789899660222,0.7464464226229192
k7,slope_rank,0.6391027912760342,0.6416170719032859,0.6391027912760342,0.6220093374667918
k8,chi2,0.7352643977487916,0.7445688793449193,0.7352643977487916,0.717340166990765
k8,gini,0.8076109561354349,0.8156589028586123,0.8076109561354349,0.8024307293327553
k8,info_gain,0.7371898108188676,0.7487438071112628,0.7371898108188676,0.7248776161142128
k8,random_forest,0.7611790600421543,0.7657977739101268,0.7611790600421543,0.7477419253791666
k8,slope_rank,0.6723983431780662,0.6747717079396186,0.6723983431780662,0.6544188933887503
